#{"t_start": 1731203105.9239593, "env_id": "LunarLander-v2"}
r,l,t
227.433368,318,1067.940921
245.915329,292,1068.821463
254.699593,247,1069.536082
229.353134,230,1070.209819
253.340698,286,1071.057001
284.350737,227,1071.709756
258.714018,466,1073.029975
216.841456,241,1073.680238
230.430436,804,1076.115975
182.92855,560,1077.862936
236.457822,451,1079.238167
249.684901,280,1080.057739
246.617818,327,1080.996873
244.132905,431,1082.286499
229.050211,383,1083.37913
249.632816,339,1084.34278
244.174216,365,1085.41119
213.177718,308,1086.310033
240.135146,264,1087.053691
136.303916,1000,1088.095364
191.330225,559,1088.527583
218.670639,508,1088.942618
278.624072,322,1089.163011
264.81642,332,1089.371323
209.136619,297,1090.220281
205.738669,331,1091.154717
-25.596913,330,1092.158807
165.637724,939,1095.313793
247.102639,275,1096.15084
268.897188,288,1097.023528
297.710974,226,1097.687974
251.052513,287,1098.504026
292.532798,292,1099.331322
229.249419,524,1101.016177
274.312703,450,1102.356437
245.059861,270,1103.105126
259.30174,368,1104.137338
274.104474,572,1105.816095
84.274091,1000,1109.211373
253.371507,471,1110.590516
291.413053,269,1111.376982
231.756866,403,1112.565239
212.529259,541,1114.1599
197.858543,349,1115.19651
221.806581,569,1116.888579
193.267438,445,1118.211532
232.980313,388,1119.844898
-53.577266,1000,1120.702792
32.634008,1000,1122.08802
94.676817,1000,1123.075774
204.027757,413,1123.382161
275.033798,255,1124.104623
98.991791,1000,1127.275026
274.99238,378,1128.354234
204.204515,680,1130.417859
228.462081,276,1131.303105
226.901486,531,1132.94714
250.141186,297,1133.89735
192.278849,340,1134.942976
189.556105,620,1136.935965
14.119183,416,1138.156648
255.818496,456,1139.459522
195.929487,458,1140.76494
86.256021,1000,1143.82096
218.207039,471,1145.235359
244.829207,355,1146.295199
282.875806,301,1147.186397
281.702363,324,1148.121358
227.279026,310,1149.002925
302.403869,360,1150.009029
281.257238,479,1151.358772
231.332157,466,1152.941639
245.357274,316,1153.776894
269.503314,468,1154.083113
226.082344,408,1154.422622
242.672177,341,1154.669323
124.274066,1000,1155.98309
1.280466,1000,1158.994617
230.903169,443,1160.351872
222.422089,344,1161.406849
182.485549,432,1162.713587
253.845364,430,1164.019353
217.265633,402,1165.197601
246.508417,446,1166.431295
-94.93288,788,1168.789078
220.131213,397,1169.997005
223.28106,583,1171.858927
264.120563,296,1172.710509
241.69832,525,1174.423538
236.612262,348,1175.449942
205.030366,472,1176.807474
215.657929,622,1178.899325
212.654256,468,1180.327551
221.181712,629,1182.499083
267.086215,358,1183.650496
245.27792,402,1184.876137
-31.120536,1000,1188.22517
-47.757973,1000,1189.197912
-50.578077,1000,1190.501688
-2.171212,1000,1191.693775
217.677944,750,1192.583992
225.259347,509,1194.190869
178.851309,410,1195.410657
196.546372,412,1196.662747
205.634857,528,1198.27201
296.733754,314,1199.149972
-79.529926,189,1199.638894
261.047463,335,1200.552033
268.444093,301,1201.391989
-48.602958,1000,1204.67253
226.546387,706,1206.988061
-63.478063,1000,1210.173381
151.801886,427,1211.45998
276.328893,483,1213.007488
287.511629,435,1214.267197
226.65931,615,1216.170134
203.781937,654,1218.290258
-84.426134,1000,1221.864194
280.46622,301,1222.735508
239.00407,381,1224.145584
249.465658,380,1224.373168
232.93291,359,1224.627661
213.993221,463,1225.034865
258.979296,383,1225.307179
169.733195,792,1227.868437
-62.450806,1000,1232.078677
163.666821,638,1234.052274
197.804194,535,1235.82813
242.091471,397,1237.077419
225.864343,448,1238.470775
215.37183,581,1240.366917
-27.269203,1000,1243.988131
241.888064,413,1245.2836
272.552572,332,1246.309888
278.911014,268,1247.095708
-51.041742,1000,1250.803737
-31.838171,1000,1254.216462
-48.84203,1000,1258.07528
253.024369,392,1259.253239
-19.617088,1000,1261.418072
154.02379,967,1262.388299
281.800257,295,1262.58117
-4.209559,1000,1263.858471
-9.356016,1000,1264.911243
162.341174,691,1267.286709
237.66518,373,1268.399432
-7.342383,1000,1271.985284
-47.82019,1000,1275.492916
3.246069,1000,1279.402566
279.908075,325,1280.399299
182.169305,666,1282.546943
281.588892,369,1283.627038
277.102383,261,1284.348964
-26.04145,1000,1287.977042
-9.474128,1000,1291.592179
-9.541804,1000,1294.970913
-22.281429,1000,1298.722965
-132.988356,146,1299.732062
296.232129,214,1299.855243
-6.451659,1000,1301.514304
-21.36478,1000,1303.117119
261.731292,378,1303.372985
198.975598,677,1305.75534
211.095978,591,1307.775227
-1.561039,297,1308.621603
158.202882,853,1311.516654
26.998896,1000,1315.547749
-25.27203,1000,1319.022408
285.262009,488,1320.419504
251.193687,251,1321.112718
249.922739,253,1321.863801
306.212586,347,1322.931646
11.307772,1000,1326.448162
99.645826,967,1330.122151
-2.702347,1000,1333.597122
293.394399,226,1334.258983
183.152876,623,1336.151237
204.918047,443,1337.813957
12.908736,1000,1339.319583
-61.245696,1000,1340.229663
229.389787,414,1340.568145
173.315486,649,1341.166506
273.159318,353,1342.201705
199.836039,652,1344.498894
268.948765,484,1346.101356
221.652909,554,1347.883735
252.232343,296,1348.746439
262.518054,462,1350.130403
253.555379,493,1351.688912
277.637687,294,1352.551387
206.758018,571,1354.433233
78.173851,190,1354.999733
268.350301,529,1356.593722
217.415809,478,1358.139123
262.291958,403,1359.343062
219.630302,365,1360.428235
286.547074,272,1361.18772
228.439391,381,1362.327564
231.421929,300,1363.21673
235.875608,532,1364.961999
271.398479,348,1365.961575
248.402875,353,1367.072945
207.661894,491,1368.543004
276.079659,326,1369.485358
289.499735,558,1371.247561
226.298845,378,1372.456622
239.705351,497,1372.920413
211.738862,634,1373.578112
91.605202,1000,1374.40868
255.054555,337,1374.637951
241.372289,451,1376.027754
274.681077,466,1377.401361
248.480112,581,1379.194695
289.252458,369,1380.252202
243.38948,411,1381.465546
233.946464,669,1383.797914
250.375785,470,1385.278101
239.327286,368,1386.352002
207.165622,403,1387.520265
255.934837,241,1388.204922
230.936796,374,1389.354073
269.473389,296,1390.189685
275.163147,422,1391.365352
230.691653,424,1392.700102
277.620601,269,1393.462811
204.383218,659,1395.657498
213.109264,481,1397.160571
220.375657,569,1399.022216
214.180436,558,1400.627201
232.937415,453,1401.929497
218.971133,486,1403.436422
229.852361,344,1404.436225
288.324277,251,1405.23274
244.548779,263,1405.380127
36.25176,181,1405.480847
-0.07726,165,1405.568109
268.032105,393,1405.848622
-2.529879,181,1406.366656
220.649127,514,1407.97277
185.06872,545,1409.632241
265.224683,359,1410.687668
274.648389,259,1411.425494
242.929212,257,1412.163403
190.947109,766,1414.646395
225.709434,365,1415.767196
285.088453,359,1416.890227
273.341667,248,1417.602532
219.806184,409,1418.849307
201.990584,755,1421.29203
192.304147,470,1422.754694
201.850335,641,1424.839464
193.999223,553,1426.572394
202.879671,573,1428.352313
205.665993,813,1430.845964
-60.714847,217,1431.463008
229.907575,535,1433.241706
221.80644,253,1433.954322
284.447209,363,1434.985023
215.322431,508,1436.531331
103.949512,1000,1438.230547
142.210391,1000,1439.464827
97.799524,1000,1440.671351
-82.988477,367,1440.907661
129.573074,1000,1442.121175
